ds,y
2018/3/23 20:00,3354870.6
2018/3/23 21:00,1640566.667
2018/3/23 22:00,4980431.241
2018/3/23 23:00,4369228.183
2018/3/24 0:00,4113539.153
2018/3/24 1:00,3398774.7
2018/3/24 2:00,4316804.153
2018/3/24 3:00,3377652.95
2018/3/24 4:00,4268088.915
2018/3/24 5:00,4905192.091
2018/3/24 6:00,2172232.85
2018/3/24 7:00,3577608.528
2018/3/24 8:00,2749224.396
2018/3/24 9:00,4814801.5
2018/3/24 10:00,5666384.311
2018/3/24 11:00,4606474.929
2018/3/24 12:00,4156977.229
2018/3/24 13:00,5222022.459
2018/3/24 14:00,3968907.35
2018/3/24 15:00,5269859.585
2018/3/24 16:00,3779734.983
2018/3/24 17:00,5016339.233
2018/3/24 18:00,5563735.341
2018/3/24 19:00,3394648.167
2018/3/24 20:00,5143573.522
2018/3/24 21:00,5409315
2018/3/24 22:00,5371532.667
2018/3/24 23:00,5003252.939
2018/3/25 0:00,3939584.883
2018/3/25 1:00,4438796.283
2018/3/25 2:00,4451580.291
2018/3/25 3:00,5694188.238
2018/3/25 4:00,3659926.067
2018/3/25 5:00,3487282.317
2018/3/25 6:00,3284592.633
2018/3/25 7:00,3471414.492
2018/3/25 8:00,4656625.107
2018/3/25 9:00,4199472.533
2018/3/25 10:00,4279791.85
2018/3/25 11:00,4527338.778
2018/3/25 12:00,3715261.783
2018/3/25 13:00,3138348.55
2018/3/25 14:00,2831979.383
2018/3/25 15:00,3449376.667
2018/3/25 16:00,3449231.967
2018/3/25 17:00,3782894.533
2018/3/25 18:00,5172327.136
2018/3/25 19:00,4852383.782
2018/3/25 20:00,4966495.417
2018/3/25 21:00,2938137.533
2018/3/25 22:00,3015038.55
2018/3/25 23:00,3269027.417
2018/3/26 0:00,3373070.983
2018/3/26 1:00,3808575.783
2018/3/26 2:00,3311262.867
2018/3/26 3:00,3071284.283
2018/3/26 4:00,4902806.482
2018/3/26 5:00,2026921.25
2018/3/26 6:00,3407782.1
2018/3/26 7:00,4265410.136
2018/3/26 8:00,2265030.3
2018/3/26 9:00,3108981.533
2018/3/26 10:00,3828381.069
2018/3/26 11:00,4601113.167
2018/3/26 12:00,3457039.883
2018/3/26 13:00,1610128.45
2018/3/26 14:00,3196397.367
2018/3/26 15:00,2823926.717
2018/3/26 16:00,3603403.203
2018/3/26 17:00,3819865.183
2018/3/26 18:00,4502552.552
2018/3/26 19:00,3735308.684
2018/3/26 20:00,3843224.2
2018/3/26 21:00,3881188.933
2018/3/26 22:00,3327549.018
2018/3/26 23:00,3416704.789
2018/3/27 0:00,4971665.321
2018/3/27 1:00,4540598.684
2018/3/27 2:00,2914228.083
2018/3/27 3:00,2222718.983
2018/3/27 4:00,4118890.754
2018/3/27 5:00,2671322.45
2018/3/27 6:00,2582581.383
